gene_id,novel_isoform_count,gene_name
10:70394000,1,NA
10:7069000,1,NA
10:70758000,1,NA
10:70759000,1,NA
10:71061000,1,NA
10:71166000,1,NA
10:71221000,1,NA
11:55395000,1,NA
10:75020000,1,NA
13:13532000,1,NA
12:3555000,1,NA
12:33028000,1,NA
12:34009000,1,NA
10:62021000,1,NA
12:33424000,1,NA
12:33488000,1,NA
10:7384000,1,NA
10:70121000,1,NA
10:70032000,1,NA
10:70027000,1,NA
10:76429000,1,NA
10:7643000,1,NA
10:76431000,1,NA
10:76433000,1,NA
10:76434000,1,NA
10:7658000,1,NA
10:76888000,1,NA
10:75148000,1,NA
10:75018000,1,NA
10:62912000,1,NA
10:70047000,1,NA
10:63154000,1,NA
10:66844000,1,NA
10:66847000,1,NA
10:67928000,1,NA
10:62104000,1,NA
10:89714000,1,NA
10:61575000,1,NA
10:79673000,1,NA
10:79699000,1,NA
10:79741000,1,NA
10:81201000,1,NA
10:81232000,1,NA
10:77126000,1,NA
10:88305000,1,NA
10:87912000,1,NA
10:88169000,1,NA
10:88170000,1,NA
10:88202000,1,NA
10:88250000,1,NA
10:88281000,1,NA
10:88303000,1,NA
10:88306000,1,NA
10:87770000,1,NA
10:79689000,1,NA
10:79656000,1,NA
10:88309000,1,NA
10:79618000,1,NA
10:80116000,1,NA
10:79867000,1,NA
12:35195000,1,NA
10:81202000,1,NA
10:78250000,1,NA
10:7781000,1,NA
10:7782000,1,NA
10:77820000,1,NA
10:77821000,1,NA
10:78006000,1,NA
10:78022000,1,NA
10:78105000,1,NA
10:78272000,1,NA
10:79788000,1,NA
10:78900000,1,NA
10:88308000,1,NA
10:88318000,1,NA
10:59699000,1,NA
10:84955000,1,NA
10:86183000,1,NA
10:86184000,1,NA
10:86185000,1,NA
10:77322000,1,NA
10:77105000,1,NA
10:4970000,1,NA
10:61264000,1,NA
10:59819000,1,NA
10:59970000,1,NA
10:60207000,1,NA
10:60547000,1,NA
10:60598000,1,NA
10:60934000,1,NA
10:61155000,1,NA
10:61267000,1,NA
10:86182000,1,NA
10:84952000,1,NA
10:88582000,1,NA
10:84851000,1,NA
10:90952000,1,NA
10:90983000,1,NA
10:87772000,1,NA
10:87769000,1,NA
10:81322000,1,NA
10:83432000,1,NA
