ids	SRR33470049_nocondition_nobatch
ENSMUST00000019067_ENSMUSG00000018923	3.0
ENSMUST00000019071_ENSMUSG00000018927	12.0
ENSMUST00000019076_ENSMUSG00000018932	6.0
ENSMUST00000019109_ENSMUSG00000018965	21.0
ENSMUST00000019128_ENSMUSG00000000568	11.0
ENSMUST00000019183_ENSMUSG00000019039	8.0
ENSMUST00000019198_ENSMUSG00000019054	50.0
ENSMUST00000019199_ENSMUSG00000019055	18.0
ENSMUST00000019224_ENSMUSG00000019080	6.0
ENSMUST00000019266_ENSMUSG00000019122	18.0
ENSMUST00000019276_ENSMUSG00000019132	30.0
ENSMUST00000019302_ENSMUSG00000019158	50.0
ENSMUST00000019354_ENSMUSG00000019210	111.0
ENSMUST00000019382_ENSMUSG00000031708	68.0
ENSMUST00000019439_ENSMUSG00000019295	15.0
ENSMUST00000019470_ENSMUSG00000078652	11.0
ENSMUST00000019506_ENSMUSG00000019362	83.0
ENSMUST00000019514_ENSMUSG00000019370	33.0
ENSMUST00000019517_ENSMUSG00000019373	16.0
ENSMUST00000019615_ENSMUSG00000019471	42.0
ENSMUST00000019638_ENSMUSG00000019494	38.0
ENSMUST00000019649_ENSMUSG00000019505	142.0
ENSMUST00000019662_ENSMUSG00000019518	9.0
ENSMUST00000019683_ENSMUSG00000019539	12.0
ENSMUST00000019722_ENSMUSG00000019578	25.0
ENSMUST00000019723_ENSMUSG00000019579	15.0
ENSMUST00000019726_ENSMUSG00000024197	12.0
ENSMUST00000019749_ENSMUSG00000027102	4.0
ENSMUST00000019803_ENSMUSG00000019659	16.0
ENSMUST00000019833_ENSMUSG00000019689	33.0
ENSMUST00000019878_ENSMUSG00000078813	18.0
ENSMUST00000019882_ENSMUSG00000019738	25.0
ENSMUST00000019911_ENSMUSG00000019777	15.0
ENSMUST00000019917_ENSMUSG00000019782	32.0
ENSMUST00000019929_ENSMUSG00000019794	9.0
ENSMUST00000019939_ENSMUSG00000019804	59.0
ENSMUST00000019945_ENSMUSG00000019809	14.0
ENSMUST00000019950_ENSMUSG00000019814	19.0
ENSMUST00000019962_ENSMUSG00000019818	23.0
ENSMUST00000019965_ENSMUSG00000019822	6.0
ENSMUST00000019974_ENSMUSG00000019832	8.0
ENSMUST00000020002_ENSMUSG00000078453	16.0
ENSMUST00000020004_ENSMUSG00000019857	6.0
ENSMUST00000020022_ENSMUSG00000019872	67.0
ENSMUST00000020023_ENSMUSG00000019873	5.0
ENSMUST00000020027_ENSMUSG00000019877	11.0
ENSMUST00000020049_ENSMUSG00000019897	11.0
ENSMUST00000020081_ENSMUSG00000019923	44.0
ENSMUST00000020118_ENSMUSG00000019960	17.0
ENSMUST00000020188_ENSMUSG00000020009	99.0
ENSMUST00000020203_ENSMUSG00000020018	23.0
ENSMUST00000020209_ENSMUSG00000020022	79.0
ENSMUST00000020215_ENSMUSG00000020027	3.0
ENSMUST00000020217_ENSMUSG00000020029	96.0
ENSMUST00000020223_ENSMUSG00000020034	17.0
ENSMUST00000020234_ENSMUSG00000020044	16.0
ENSMUST00000020248_ENSMUSG00000020056	13.0
ENSMUST00000020249_ENSMUSG00000020057	49.0
ENSMUST00000020271_ENSMUSG00000020077	27.0
ENSMUST00000020284_ENSMUSG00000020087	16.0
ENSMUST00000020285_ENSMUSG00000020088	84.0
ENSMUST00000020286_ENSMUSG00000020089	35.0
ENSMUST00000020288_ENSMUSG00000020091	6.0
ENSMUST00000020298_ENSMUSG00000020098	8.0
ENSMUST00000020301_ENSMUSG00000020101	22.0
ENSMUST00000020307_ENSMUSG00000020107	3.0
ENSMUST00000020308_ENSMUSG00000020108	69.0
ENSMUST00000020316_ENSMUSG00000020115	7.0
ENSMUST00000020317_ENSMUSG00000020116	5.0
ENSMUST00000020341_ENSMUSG00000020133	17.0
ENSMUST00000020343_ENSMUSG00000020132	12.0
ENSMUST00000020358_ENSMUSG00000020149	51.0
ENSMUST00000020361_ENSMUSG00000020153	84.0
ENSMUST00000020372_ENSMUSG00000020163	273.0
ENSMUST00000020397_ENSMUSG00000020180	21.0
ENSMUST00000020403_ENSMUSG00000020186	10.0
ENSMUST00000020440_ENSMUSG00000020219	61.0
ENSMUST00000020444_ENSMUSG00000020224	10.0
ENSMUST00000020446_ENSMUSG00000020225	54.0
ENSMUST00000020454_ENSMUSG00000020232	5.0
ENSMUST00000020501_ENSMUSG00000020265	46.0
ENSMUST00000020504_ENSMUSG00000020267	128.0
ENSMUST00000020522_ENSMUSG00000020277	25.0
ENSMUST00000020523_ENSMUSG00000020283	32.0
ENSMUST00000020528_ENSMUSG00000020287	3.0
ENSMUST00000020546_ENSMUSG00000020303	5.0
ENSMUST00000020550_ENSMUSG00000020307	8.0
ENSMUST00000020552_ENSMUSG00000020308	14.0
ENSMUST00000020568_ENSMUSG00000020319	6.0
ENSMUST00000020576_ENSMUSG00000020326	34.0
ENSMUST00000020578_ENSMUSG00000020328	9.0
ENSMUST00000020608_ENSMUSG00000020349	23.0
ENSMUST00000020630_ENSMUSG00000020361	34.0
ENSMUST00000020634_ENSMUSG00000020366	15.0
ENSMUST00000020640_ENSMUSG00000020372	168.0
ENSMUST00000020653_ENSMUSG00000020386	33.0
